HGNC ID	Approved Symbol	Approved Name	Chromosome	Ensembl Gene ID	RefSeq IDs
HGNC:20879	CASKIN1	CASK interacting protein 1	16p13.3		NM_020764
HGNC:1537	CBFA2T3	CBFA2/RUNX1 translocation partner 3	16q24.3	ENSG00000129993	NM_005187
HGNC:1539	CBFB	core-binding factor subunit beta	16q22.1	ENSG00000067955	NM_001755
HGNC:1543	CBLN1	cerebellin 1 precursor	16q12.1	ENSG00000102924	NM_004352
HGNC:14153	CCDC78	coiled-coil domain containing 78	16p13.3	ENSG00000162004	NM_173476
HGNC:28097	CCDC102A	coiled-coil domain containing 102A	16q21	ENSG00000135736	NM_033212
HGNC:25002	CCDC113	coiled-coil domain containing 113	16q21	ENSG00000103021	NM_014157
HGNC:34454	CCDC154	coiled-coil domain containing 154	16p13.3	ENSG00000197599	NM_001143980
HGNC:28078	CCDC189	coiled-coil domain containing 189	16p11.2	ENSG00000196118	NM_001014979
HGNC:10615	CCL17	C-C motif chemokine ligand 17	16q21	ENSG00000102970	NM_002987
HGNC:10621	CCL22	C-C motif chemokine ligand 22	16q21	ENSG00000102962	NM_002990
HGNC:1591	CCNF	cyclin F	16p13.3	ENSG00000162063	NM_001761
HGNC:24342	CCP110	centriolar coiled-coil protein 110	16p12.3	ENSG00000103540	NM_014711
HGNC:1656	CD2BP2	CD2 cytoplasmic tail binding protein 2	16p11.2	ENSG00000169217	NM_006110
HGNC:1633	CD19	CD19 molecule	16p11.2	ENSG00000177455	
HGNC:1748	CDH1	cadherin 1	16q22.1	ENSG00000039068	NM_004360
HGNC:1762	CDH3	cadherin 3	16q22.1	ENSG00000062038	NM_001793
HGNC:1764	CDH5	cadherin 5	16q21	ENSG00000179776	NM_001795
HGNC:1767	CDH8	cadherin 8	16q21	ENSG00000150394	NM_001796
HGNC:1750	CDH11	cadherin 11	16q21	ENSG00000140937	NM_033664
HGNC:1753	CDH13	cadherin 13	16q23.3		NM_001257
HGNC:1754	CDH15	cadherin 15	16q24.3	ENSG00000129910	NM_004933
HGNC:1755	CDH16	cadherin 16	16q22.1	ENSG00000166589	NM_004062
HGNC:13234	CDIP1	cell death inducing p53 target 1	16p13.3	ENSG00000089486	NM_013399
HGNC:1769	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	16p11.2	ENSG00000103502	NM_006319
HGNC:1770	CDK10	cyclin dependent kinase 10	16q24.3	ENSG00000185324	
HGNC:1799	CDR2	cerebellar degeneration related protein 2	16p12.2		
HGNC:24576	CDT1	chromatin licensing and DNA replication factor 1	16q24.3	ENSG00000167513	NM_030928
HGNC:23030	CDYL2	chromodomain Y like 2	16q23.2	ENSG00000166446	NM_152342
HGNC:32553	CEMP1	cementum protein 1	16p13.3		NM_001048212
HGNC:28272	CENPBD1	CENPB DNA-binding domain containing 1	16q24.3	ENSG00000177946	NM_145039
HGNC:30873	CENPN	centromere protein N	16q23.2	ENSG00000166451	NM_018455
HGNC:25787	CENPT	centromere protein T	16q22.1		NM_025082
HGNC:1863	CES1	carboxylesterase 1	16q12.2	ENSG00000198848	NM_001266
HGNC:1864	CES2	carboxylesterase 2	16q22.1	ENSG00000172831	NM_003869
HGNC:1865	CES3	carboxylesterase 3	16q22.1	ENSG00000172828	NM_024922
HGNC:26741	CES4A	carboxylesterase 4A	16q22.1	ENSG00000172824	NM_173815
HGNC:26459	CES5A	carboxylesterase 5A	16q12.2	ENSG00000159398	NM_145024
HGNC:1869	CETP	cholesteryl ester transfer protein	16q13	ENSG00000087237	NM_000078
HGNC:29523	CFAP20	cilia and flagella associated protein 20	16q21	ENSG00000070761	NM_013242
HGNC:1873	CFDP1	craniofacial development protein 1	16q23.1	ENSG00000153774	NM_006324
HGNC:25701	CHD9	chromodomain helicase DNA binding protein 9	16q12.2		NM_025134
HGNC:8740	CHMP1A	charged multivesicular body protein 1A	16q24.3	ENSG00000131165	NM_002768
HGNC:24927	CHP2	calcineurin like EF-hand protein 2	16p12.2	ENSG00000166869	NM_022097
HGNC:1972	CHST4	carbohydrate sulfotransferase 4	16q22.2	ENSG00000140835	NM_005769
HGNC:1973	CHST5	carbohydrate sulfotransferase 5	16q23.1	ENSG00000135702	NM_012126
HGNC:6938	CHST6	carbohydrate sulfotransferase 6	16q23.1	ENSG00000183196	NM_021615
HGNC:24353	CHTF8	chromosome transmission fidelity factor 8	16q22.1		NM_017804
HGNC:18435	CHTF18	chromosome transmission fidelity factor 18	16p13.3	ENSG00000127586	NM_022092
HGNC:24261	CIAO2B	cytosolic iron-sulfur assembly component 2B	16q22.1	ENSG00000166595	NM_016062
HGNC:14179	CIAO3	cytosolic iron-sulfur assembly component 3	16p13.3	ENSG00000103245	NM_022493
HGNC:28050	CIAPIN1	cytokine induced apoptosis inhibitor 1	16q21	ENSG00000005194	NM_020313
HGNC:7067	CIITA	class II major histocompatibility complex transactivator	16p13.13	ENSG00000179583	NM_000246
HGNC:13253	CKLF	chemokine like factor	16q21	ENSG00000217555	NM_016326
HGNC:2025	CLCN7	chloride voltage-gated channel 7	16p13.3	ENSG00000103249	NM_001287
HGNC:2048	CLDN6	claudin 6	16p13.3	ENSG00000184697	NM_021195
HGNC:2051	CLDN9	claudin 9	16p13.3	ENSG00000213937	NM_020982
HGNC:2052	CLEC3A	C-type lectin domain family 3 member A	16q23.1	ENSG00000166509	NM_005752
HGNC:29013	CLEC16A	C-type lectin domain containing 16A	16p13.13	ENSG00000038532	NM_015226
HGNC:30388	CLEC18A	C-type lectin domain family 18 member A	16q22.1		NM_182619
HGNC:33849	CLEC18B	C-type lectin domain family 18 member B	16q23.1	ENSG00000140839	NM_001011880
HGNC:28538	CLEC18C	C-type lectin domain family 18 member C	16q22.1		NM_173619
HGNC:34522	CLEC19A	C-type lectin domain containing 19A	16p12.3	ENSG00000261210	NM_001256720
HGNC:2074	CLN3	CLN3, battenin	16p12.1	ENSG00000188603	
HGNC:19009	CLUAP1	clusterin associated protein 1	16p13.3		NM_024793
HGNC:24447	CMC2	C-X9-C motif containing 2	16q23.2	ENSG00000103121	NM_020188
HGNC:24319	CMIP	c-Maf inducing protein	16q23.2-q23.3	ENSG00000153815	NM_030629
HGNC:19172	CMTM1	CKLF like MARVEL transmembrane domain containing 1	16q21	ENSG00000089505	NM_052999
HGNC:19173	CMTM2	CKLF like MARVEL transmembrane domain containing 2	16q21	ENSG00000140932	
HGNC:19174	CMTM3	CKLF like MARVEL transmembrane domain containing 3	16q22.1	ENSG00000140931	NM_144601
HGNC:19175	CMTM4	CKLF like MARVEL transmembrane domain containing 4	16q22.1-q22.3	ENSG00000183723	
HGNC:25635	CMTR2	cap methyltransferase 2	16q22.2	ENSG00000180917	NM_018348
HGNC:26759	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	16q12.1	ENSG00000205423	NM_153261
HGNC:2151	CNGB1	cyclic nucleotide gated channel beta 1	16q21	ENSG00000070729	NM_001297
HGNC:7877	CNOT1	CCR4-NOT transcription complex subunit 1	16q21	ENSG00000125107	NM_016284
HGNC:18747	CNTNAP4	contactin associated protein like 4	16q23.1	ENSG00000152910	NM_033401
HGNC:18620	COG4	component of oligomeric golgi complex 4	16q22.1	ENSG00000103051	
HGNC:18622	COG7	component of oligomeric golgi complex 7	16p12.2	ENSG00000168434	
HGNC:18623	COG8	component of oligomeric golgi complex 8	16q22.1	ENSG00000213380	NM_032382
HGNC:2244	COQ7	coenzyme Q7, hydroxylase	16p12.3	ENSG00000167186	NM_016138
HGNC:25302	COQ9	coenzyme Q9	16q21	ENSG00000088682	NM_020312
HGNC:2252	CORO1A	coronin 1A	16p11.2	ENSG00000102879	NM_007074
HGNC:26161	CORO7	coronin 7	16p13.3	ENSG00000262246	NM_024535
HGNC:18304	COTL1	coactosin like F-actin binding protein 1	16q24.1	ENSG00000103187	NM_021149
HGNC:2265	COX4I1	cytochrome c oxidase subunit 4I1	16q24.1	ENSG00000131143	NM_001861
HGNC:2279	COX6A2	cytochrome c oxidase subunit 6A2	16p11.2	ENSG00000156885	NM_005205
HGNC:2315	CPNE2	copine 2	16q13	ENSG00000140848	NM_152727
HGNC:2320	CPNE7	copine 7	16q24.3	ENSG00000178773	
HGNC:25632	CPPED1	calcineurin like phosphoesterase domain containing 1	16p13.12	ENSG00000103381	NM_018340
HGNC:14122	CRAMP1	cramped chromatin regulator homolog 1	16p13.3	ENSG00000007545	
HGNC:2348	CREBBP	CREB binding protein	16p13.3	ENSG00000005339	NM_004380
HGNC:25248	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2	16q24.1	ENSG00000103196	NM_031476
HGNC:2418	CRYM	crystallin mu	16p12.2	ENSG00000103316	
HGNC:2459	CSNK2A2	casein kinase 2 alpha 2	16q21	ENSG00000070770	NM_001896
HGNC:13723	CTCF	CCCTC-binding factor	16q22.1	ENSG00000102974	NM_006565
HGNC:2499	CTF1	cardiotrophin 1	16p11.2	ENSG00000150281	NM_001330
HGNC:2521	CTRB1	chymotrypsinogen B1	16q23.1	ENSG00000168925	NM_001906
HGNC:2522	CTRB2	chymotrypsinogen B2	16q23.1	ENSG00000168928	NM_001025200
HGNC:2524	CTRL	chymotrypsin like	16q22.1	ENSG00000141086	
HGNC:28005	CTU2	cytosolic thiouridylase subunit 2	16q24.3		NM_001012762
HGNC:10647	CX3CL1	C-X3-C motif chemokine ligand 1	16q21	ENSG00000006210	NM_002996
HGNC:24374	CYB5B	cytochrome b5 type B	16q22.1	ENSG00000103018	NM_030579
HGNC:2577	CYBA	cytochrome b-245 alpha chain	16q24.2	ENSG00000051523	NM_000101
HGNC:2584	CYLD	CYLD lysine 63 deubiquitinase	16q12.1	ENSG00000083799	
HGNC:28455	DBNDD1	dysbindin domain containing 1	16q24.3	ENSG00000003249	NM_024043
HGNC:24594	DCTN5	dynactin subunit 5	16p12.2	ENSG00000166847	NM_032486
HGNC:28777	DCTPP1	dCTP pyrophosphatase 1	16p11.2	ENSG00000179958	NM_024096
HGNC:28734	DCUN1D3	defective in cullin neddylation 1 domain containing 3	16p12.3	ENSG00000188215	NM_173475
HGNC:25628	DDX19A	DEAD-box helicase 19A	16q22.1	ENSG00000168872	NM_018332
HGNC:2742	DDX19B	DEAD-box helicase 19B	16q22.1	ENSG00000157349	NM_007242
HGNC:17330	DDX28	DEAD-box helicase 28	16q22.1	ENSG00000182810	NM_018380
HGNC:2754	DECR2	2,4-dienoyl-CoA reductase 2	16p13.3	ENSG00000242612	NM_020664
HGNC:25969	DEF8	differentially expressed in FDCP 8 homolog	16q24.3	ENSG00000140995	NM_207514
HGNC:13267	DEXI	Dexi homolog	16p13.13	ENSG00000182108	NM_014015
HGNC:2867	DHODH	dihydroorotate dehydrogenase (quinone)	16q22.2	ENSG00000102967	NM_001361
HGNC:17211	DHX38	DEAH-box helicase 38	16q22.2	ENSG00000140829	NM_014003
HGNC:30539	DNAAF1	dynein axonemal assembly factor 1	16q24.1	ENSG00000154099	NM_178452
HGNC:2949	DNAH3	dynein axonemal heavy chain 3	16p12.3	ENSG00000158486	NM_017539
HGNC:14884	DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	16q11.2	ENSG00000069345	
HGNC:11808	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	16p13.3	ENSG00000103423	
HGNC:2956	DNASE1	deoxyribonuclease 1	16p13.3	ENSG00000213918	
HGNC:2958	DNASE1L2	deoxyribonuclease 1 like 2	16p13.3		NM_001374
HGNC:2985	DOC2A	double C2 domain alpha	16p11.2	ENSG00000149927	NM_003586
HGNC:19868	DOK4	docking protein 4	16q21	ENSG00000125170	
HGNC:3002	DPEP1	dipeptidase 1	16q24.3	ENSG00000015413	NM_001128141
HGNC:23028	DPEP2	dipeptidase 2	16q22.1	ENSG00000167261	NM_022355
HGNC:52385	DPEP2NB	DPEP2 neighbor	16q22.1	ENSG00000263201	NM_001282442
HGNC:23029	DPEP3	dipeptidase 3	16q22.1	ENSG00000141096	NM_022357
HGNC:25289	DRC7	dynein regulatory complex subunit 7	16q21	ENSG00000159625	NM_032269
HGNC:26014	DUS2	dihydrouridine synthase 2	16q22.1	ENSG00000167264	NM_017803
HGNC:2966	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	16q22.1	ENSG00000135720	NM_006141
HGNC:15467	DYNLRB2	dynein light chain roadblock-type 2	16q23.2	ENSG00000168589	NM_130897
HGNC:3118	E2F4	E2F transcription factor 4	16q22.1	ENSG00000205250	NM_001950
HGNC:3121	E4F1	E4F transcription factor 1	16p13.3		NM_004424
HGNC:29419	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	16p12.2	ENSG00000103356	NM_133451
HGNC:2703	ECI1	enoyl-CoA delta isomerase 1	16p13.3	ENSG00000167969	
HGNC:17157	EDC4	enhancer of mRNA decapping 4	16q22.1	ENSG00000038358	NM_014329
HGNC:24615	EEF2K	eukaryotic elongation factor 2 kinase	16p12.2	ENSG00000103319	NM_013302
HGNC:32221	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	16p13.3	ENSG00000118894	NM_201400
HGNC:3279	EIF3C	eukaryotic translation initiation factor 3 subunit C	16p11.2		NM_003752
HGNC:26347	EIF3CL	eukaryotic translation initiation factor 3 subunit C like	16p12.1	ENSG00000205609	
HGNC:17289	ELMO3	engulfment and cell motility 3	16q22.1	ENSG00000102890	NM_024712
HGNC:11619	ELOB	elongin B	16p13.3	ENSG00000103363	NM_007108
HGNC:7864	EMC8	ER membrane protein complex subunit 8	16q24.1	ENSG00000131148	NM_006067
HGNC:27289	EME2	essential meiotic structure-specific endonuclease subunit 2	16p13.3	ENSG00000197774	NM_001010865
HGNC:3334	EMP2	epithelial membrane protein 2	16p13.13	ENSG00000213853	NM_001424
HGNC:25246	ENKD1	enkurin domain containing 1	16q22.1	ENSG00000124074	NM_032140
HGNC:3436	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	16p13.12	ENSG00000175595	NM_005236
HGNC:30541	ERI2	ERI1 exoribonuclease family member 2	16p12.3	ENSG00000196678	NM_080663
HGNC:16942	ERN2	endoplasmic reticulum to nucleus signaling 2	16p12.2		
HGNC:26152	ESRP2	epithelial splicing regulatory protein 2	16q22.1	ENSG00000103067	NM_024939
HGNC:27540	EXOC3L1	exocyst complex component 3 like 1	16q22.1	ENSG00000179044	NM_178516
HGNC:19055	EXOSC6	exosome component 6	16q22.1	ENSG00000223496	NM_058219
HGNC:21197	FA2H	fatty acid 2-hydroxylase	16q23.1	ENSG00000103089	NM_024306
HGNC:14169	FAHD1	fumarylacetoacetate hydrolase domain containing 1	16p13.3	ENSG00000180185	NM_001018104
HGNC:25295	FAM57B	family with sequence similarity 57 member B	16p11.2	ENSG00000149926	NM_031478
HGNC:24781	FAM92B	family with sequence similarity 92 member B	16q24.1		NM_198491
HGNC:14152	FAM173A	family with sequence similarity 173 member A	16p13.3	ENSG00000103254	NM_023933
HGNC:29856	FAM192A	family with sequence similarity 192 member A	16q13		NM_024946
HGNC:14163	FAM234A	family with sequence similarity 234 member A	16p13.3	ENSG00000167930	NM_032039
HGNC:3582	FANCA	FA complementation group A	16q24.3	ENSG00000187741	
HGNC:20442	FBRS	fibrosin	16p11.2	ENSG00000156860	NM_022452
HGNC:17875	FBXL8	F-box and leucine rich repeat protein 8	16q22.1	ENSG00000135722	
HGNC:14150	FBXL16	F-box and leucine rich repeat protein 16	16p13.3	ENSG00000127585	NM_153350
HGNC:25300	FBXL19	F-box and leucine rich repeat protein 19	16p11.2	ENSG00000099364	NM_019085
HGNC:16510	FBXO31	F-box protein 31	16q24.2	ENSG00000103264	NM_024735
HGNC:17905	FHOD1	formin homology 2 domain containing 1	16q22.1	ENSG00000135723	
HGNC:25404	FLYWCH1	FLYWCH-type zinc finger 1	16p13.3	ENSG00000059122	NM_032296
HGNC:25178	FLYWCH2	FLYWCH family member 2	16p13.3	ENSG00000162076	NM_138439
HGNC:26435	FOPNL	FGFR1OP N-terminal like	16p13.11	ENSG00000133393	NM_144600
HGNC:3801	FOXC2	forkhead box C2	16q24.1	ENSG00000176692	NM_005251
HGNC:3809	FOXF1	forkhead box F1	16q24.1	ENSG00000103241	NM_001451
HGNC:3817	FOXL1	forkhead box L1	16q24.1	ENSG00000176678	NM_005250
HGNC:24678	FTO	FTO, alpha-ketoglutarate dependent dioxygenase	16q12.2	ENSG00000140718	NM_001080432
HGNC:29500	FUK	fucokinase	16q22.1	ENSG00000157353	NM_145059
HGNC:4010	FUS	FUS RNA binding protein	16p11.2	ENSG00000089280	NM_004960
HGNC:13291	GABARAPL2	GABA type A receptor associated protein like 2	16q23.1	ENSG00000034713	NM_007285
HGNC:4122	GALNS	galactosamine (N-acetyl)-6-sulfatase	16q24.3	ENSG00000141012	
HGNC:4137	GAN	gigaxonin	16q23.2	ENSG00000261609	
HGNC:4166	GAS8	growth arrest specific 8	16q24.3	ENSG00000141013	
HGNC:4208	GCSH	glycine cleavage system protein H	16q23.2	ENSG00000140905	NM_004483
HGNC:29644	GDE1	glycerophosphodiester phosphodiesterase 1	16p12.3	ENSG00000006007	NM_016641
HGNC:28638	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	16p11.2	ENSG00000102886	NM_024307
HGNC:4236	GFER	growth factor, augmenter of liver regeneration	16p13.3	ENSG00000127554	NM_005262
HGNC:28159	GFOD2	glucose-fructose oxidoreductase domain containing 2	16q22.1	ENSG00000141098	NM_030819
HGNC:16064	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	16p12.2	ENSG00000103365	
HGNC:24575	GINS2	GINS complex subunit 2	16q24.1	ENSG00000131153	NM_016095
HGNC:25851	GINS3	GINS complex subunit 3	16q21	ENSG00000181938	NM_022770
HGNC:4316	GLG1	golgi glycoprotein 1	16q23.1	ENSG00000090863	NM_012201
HGNC:29450	GLIS2	GLIS family zinc finger 2	16p13.3	ENSG00000126603	NM_032575
HGNC:24434	GLYR1	glyoxylate reductase 1 homolog	16p13.3	ENSG00000140632	NM_032569
HGNC:4389	GNAO1	G protein subunit alpha o1	16q13	ENSG00000087258	NM_020988
HGNC:14131	GNG13	G protein subunit gamma 13	16p13.3	ENSG00000127588	NM_016541
HGNC:23026	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma	16p13.3	ENSG00000090581	NM_032520
